,no2_ref
2302,5.3
835,14.1
4024,7.9
778,1.3
2676,2.8
3532,1.7
580,1.4
698,20.8
1038,1.9
5460,1.5
3004,1.6
6983,17.8
4482,4.5
3952,1.1
2080,4.4
2468,3.6
6203,1.8
4982,1.9
2743,1.1
6503,2.8
7097,4.8
4300,5.4
3823,0.8
1384,4.1
5474,6.1
5702,5.7
6703,13.9
3340,3.0
5505,3.0
4917,2.3
1662,3.5
7156,8.0
2299,12.5
1771,26.8
3574,2.1
3550,2.7
1395,7.3
2761,9.0
7207,2.6
2947,3.9
5131,4.9
7773,6.3
2376,1.2
522,6.3
7124,7.3
8164,2.8
2452,3.5
1581,6.0
5810,2.0
5880,8.4
5185,3.0
6012,11.6
7584,21.5
7142,6.1
7932,6.5
5982,2.1
3598,1.4
6901,3.2
7605,13.0
6237,3.7
7266,3.9
6222,1.0
35,3.6
1350,2.3
7790,27.5
4469,2.1
4661,3.5
2490,2.0
826,3.8
426,21.6
4294,7.3
8091,4.2
2024,7.1
5385,2.4
5345,3.2
7238,22.6
3588,5.3
158,6.4
1939,3.6
1258,1.7
5374,1.5
5290,7.1
7738,7.4
4620,3.8
2258,2.1
5670,6.2
1682,3.1
3282,1.9
3846,0.9
5217,1.9
6644,6.0
686,6.5
3027,4.5
3528,2.4
5878,9.6
5536,3.2
653,17.4
352,2.9
326,2.7
4365,2.1
7574,2.5
518,8.7
7576,2.6
293,9.1
17,2.7
3581,10.0
3504,2.5
2972,4.2
7033,7.1
7944,1.8
1215,3.8
700,8.2
2214,1.2
723,7.4
4968,2.5
3658,2.9
6495,9.7
3182,2.0
3712,4.6
7127,6.2
7426,2.5
1645,15.6
7301,1.1
3576,2.7
911,26.9
5570,5.3
1731,4.7
5762,4.9
5418,1.3
6666,7.1
5772,1.3
6498,12.7
2949,3.1
4068,2.3
5379,2.5
6897,8.4
3313,4.1
5059,2.7
5225,11.3
5456,5.8
7070,8.8
1753,4.1
3017,6.1
3229,1.5
5937,0.8
6809,9.5
3988,1.4
2952,1.7
7327,1.9
2454,2.8
2254,10.1
4701,3.6
4413,6.5
6780,1.5
2402,6.9
5874,9.0
5317,2.2
6524,1.8
3912,2.3
1221,4.4
5470,8.9
1229,4.0
7006,20.5
4077,1.4
2056,0.8
2856,11.7
6342,14.5
299,2.8
1386,4.2
3705,2.2
6394,5.7
5466,3.0
5166,2.3
6873,18.5
5593,3.0
2156,3.3
3961,1.6
2053,0.8
3765,1.9
6765,9.0
856,3.7
5012,2.0
4477,3.6
1750,2.8
7405,4.3
6334,9.7
5842,1.1
2645,1.4
6998,5.2
3861,4.8
5098,4.1
6078,3.1
7862,0.7
7164,2.8
3924,3.0
1432,2.2
2116,1.2
550,3.3
6321,3.1
6790,5.1
3688,1.3
1934,8.3
6879,17.7
1047,27.2
5187,2.2
7287,2.6
3306,2.2
5721,2.7
1080,13.6
302,2.2
2448,3.1
5011,2.4
2278,1.3
6903,6.0
4110,3.2
539,6.0
6681,14.8
741,13.9
1356,5.0
7729,1.7
7644,8.9
4423,3.1
4526,2.5
6254,1.2
2115,1.3
5181,2.2
4064,4.2
1286,6.5
2245,13.7
6908,9.6
5213,2.4
8003,22.7
7822,23.9
3755,0.9
6619,5.5
5707,2.6
1785,15.8
4576,6.9
4232,1.0
3272,5.5
7075,3.9
7338,15.3
1494,1.2
3090,1.3
4289,5.6
3457,0.9
1464,29.8
1017,10.6
8002,16.6
8077,20.6
1126,5.9
2095,2.0
2228,8.9
2389,2.4
6005,2.6
7183,8.9
1331,2.8
6640,8.3
154,4.0
1353,3.9
962,0.9
6512,3.2
1689,1.2
4066,3.3
5101,3.3
5714,3.5
1505,2.8
431,4.7
8049,14.2
3428,0.9
2420,3.5
4552,3.8
4241,1.5
5388,2.3
3033,8.6
6963,4.4
1492,1.6
2332,3.9
6289,10.7
4086,2.0
4180,3.6
4973,1.4
8021,17.1
2933,1.7
3519,3.7
3780,1.5
7081,6.7
6831,19.7
68,20.3
7479,11.6
2963,4.6
1555,2.7
2939,10.2
3615,5.7
1437,1.2
3605,9.4
1761,13.2
7275,1.7
2830,4.3
1992,2.4
3586,5.0
534,3.6
7366,6.4
6150,5.9
7638,26.4
589,6.4
5127,6.6
